2025-09-13 23:44:56 | INFO | stdout | INFO:     127.0.0.1:43992 - "POST /list_models HTTP/1.1" 200 OK
2025-09-13 23:44:56 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [0.0], ret: http://localhost:21002
2025-09-13 23:44:56 | INFO | stdout | INFO:     127.0.0.1:44004 - "POST /get_worker_address HTTP/1.1" 200 OK
2025-09-13 23:45:01 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:45:01 | INFO | stdout | INFO:     127.0.0.1:45010 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:45:46 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:45:46 | INFO | stdout | INFO:     127.0.0.1:45158 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:46:31 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:46:31 | INFO | stdout | INFO:     127.0.0.1:37050 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:47:16 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:47:16 | INFO | stdout | INFO:     127.0.0.1:44538 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:48:02 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:48:02 | INFO | stdout | INFO:     127.0.0.1:47818 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:48:48 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:48:48 | INFO | stdout | INFO:     127.0.0.1:52052 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:49:34 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:49:34 | INFO | stdout | INFO:     127.0.0.1:49602 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:50:19 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:50:19 | INFO | stdout | INFO:     127.0.0.1:35914 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:51:04 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:51:04 | INFO | stdout | INFO:     127.0.0.1:60948 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:51:49 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:51:49 | INFO | stdout | INFO:     127.0.0.1:44550 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:52:34 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:52:34 | INFO | stdout | INFO:     127.0.0.1:42358 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:53:19 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:53:19 | INFO | stdout | INFO:     127.0.0.1:55196 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:54:04 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:54:04 | INFO | stdout | INFO:     127.0.0.1:49824 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:54:49 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:54:49 | INFO | stdout | INFO:     127.0.0.1:49046 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:55:34 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:55:34 | INFO | stdout | INFO:     127.0.0.1:56814 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:56:19 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:56:19 | INFO | stdout | INFO:     127.0.0.1:50642 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:57:04 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:57:04 | INFO | stdout | INFO:     127.0.0.1:33316 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:57:49 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:57:49 | INFO | stdout | INFO:     127.0.0.1:37676 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:58:34 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:58:34 | INFO | stdout | INFO:     127.0.0.1:53776 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:59:19 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:59:19 | INFO | stdout | INFO:     127.0.0.1:55528 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-14 00:00:04 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-14 00:00:04 | INFO | stdout | INFO:     127.0.0.1:57090 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-14 00:00:49 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-14 00:00:49 | INFO | stdout | INFO:     127.0.0.1:54330 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-14 00:01:34 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-14 00:01:34 | INFO | stdout | INFO:     127.0.0.1:43066 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-14 00:02:19 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-14 00:02:19 | INFO | stdout | INFO:     127.0.0.1:44388 - "POST /receive_heart_beat HTTP/1.1" 200 OK
